"Time","Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","FlightType","Routing","Waypoint","RoutingType","Scenario"
"11:41:20","VLG6737","LDDU","LIRF",1649.63,168.89999,"A320(MEDIUM)","IFR","LDDU_KATTI","KATTI","Departure","Current"
"11:41:55","9ASET#6","LDZA","LDLO",144.63,116.4,"BE9L(MEDIUM)","IFR","LDZA_LDLO",NA,"Domestic","Current"
"11:43:04","S5DPR","LJMB","LDVA",10.13,32.7,"E300(MEDIUM)","VFR","LJMB_LDVA#2",NA,"Domestic","Current"
"11:44:59","DEFCJ","LIDF","LDPV",0,171,"P28A(MEDIUM)","VFR","NIKOL_LDPV","NIKOL","Arrival","Current"
"11:44:59","DEFCJ#2","LIDF","LDPV",0,171,"P28A(MEDIUM)","VFR","NIKOL_LDPV#2","NIKOL","Arrival","Current"
"11:45:17","TVS1DE","LKPR","LDSP",945.02,209.10001,"B739(MEDIUM)","IFR","DARZA_LDSP","DARZA","Arrival","Current"
"11:45:59","HBPAV#2","LDOS","LYNI",37.55,76.4,"C182(MEDIUM)","VFR","LDOS_TUVAR","TUVAR","Departure","Current"
"11:48:52","AUA731D","LOWW","LDDU",985.3,269,"A320(MEDIUM)","IFR","KOPRY_LDDU","KOPRY","Arrival","Current"
"11:49:13","RYR6947","LDRI","EBCI",1517.17,109.9,"B738(MEDIUM)","IFR","LDRI_ALIVO","ALIVO","Departure","Current"
"11:49:47","AFL2041","LDZA","UUEE",1121.23,79.9,"A320(MEDIUM)","IFR","LDZA_KOPRY","KOPRY","Departure","Current"
"11:51:22","9ABPR#3","LDLO","LDPL",3.62,33.4,"C172(MEDIUM)","VFR","LDLO_LDPL_1",NA,"Domestic","Current"
"11:52:11","IBK5DH","LDDU","EFHK",1242,76.6,"B738(MEDIUM)","IFR","LDDU_MOKUN","MOKUN","Departure","Current"
"11:54:38","EIN47W","LDDU","EIDW",3085.12,343.79999,"A321(MEDIUM)","IFR","LDDU_PEVAL.1","PEVAL 1","Departure","Current"
"11:55:06","HBEUO#2","LDOS","LYNI",0,75.9,"MAGC(MEDIUM)","VFR","LDOS_TUVAR","TUVAR","Departure","Current"
"11:55:11","BEL2AX","EBBR","LDSP",759.58,225.7,"A320(MEDIUM)","IFR","LABIN_LDSP","LABIN","Arrival","Current"
"11:55:38","EZY4739","EDDB","LDPL",522.53,183.39999,"A319(MEDIUM)","IFR","OUTSIDE.FIR.NE_LDPL.1","OUTSIDE FIR NE","Arrival","Current"
"11:56:24","AUA683V","LOWW","LDZA",334.25,110.4,"DH8D(MEDIUM)","IFR","KOPRY_LDZA","KOPRY","Arrival","Current"
"11:56:37","CTN412","LDSP","EDDF",1939.58,242.7,"A319(MEDIUM)","IFR","LDSP_PEVAL.1","PEVAL 1","Departure","Current"
