"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDSP","Current","Both","OBUTI",5541.8
"LDZA","Current","Both","OBUTI",11147.34
"LDSP","PBN","Both","OBUTI",5541.8
"LDZA","PBN","Both","OBUTI",11147.34
"LDDU","Current","Both","OBUTI 1",6846.87
"LDSB","Current","Both","OBUTI 1",699.57
"LDDU","PBN","Both","OBUTI 1",6846.87
"LDSB","PBN","Both","OBUTI 1",699.57
"LDDU","Current","Both","OBUTI 2",15203.7
"LDDU","PBN","Both","OBUTI 2",15203.7
"LDZA","Current","Both","OSLUD",228.93
"LDZA","PBN","Both","OSLUD",228.93
"LDZA","Current","Both","OSLUD 1",2200.82
"LDZA","PBN","Both","OSLUD 1",2200.82
"LDZA","Current","Both","OUTSIDE FIR E",3558.72
"LDZA","PBN","Both","OUTSIDE FIR E",3558.72
"LDSP","Current","Both","OUTSIDE FIR N",1965.68
"LDZD","Current","Both","OUTSIDE FIR N",412.18
"LDSP","PBN","Both","OUTSIDE FIR N",1965.68
"LDZD","PBN","Both","OUTSIDE FIR N",412.18
"LDSP","Current","Both","OUTSIDE FIR N 1",5521.2
"LDSP","PBN","Both","OUTSIDE FIR N 1",5521.2
"LDPL","Current","Both","OUTSIDE FIR NE",4659.61
"LDSP","Current","Both","OUTSIDE FIR NE",1917.76
"LDZD","Current","Both","OUTSIDE FIR NE",2959.15
"LDPL","PBN","Both","OUTSIDE FIR NE",4659.61
"LDSP","PBN","Both","OUTSIDE FIR NE",1917.76
"LDZD","PBN","Both","OUTSIDE FIR NE",2959.15
"LDSP","Current","Both","OUTSIDE FIR NE 1",11615.5
"LDSP","PBN","Both","OUTSIDE FIR NE 1",11615.5
"LDDU","Current","Both","OUTSIDE FIR NW",2939.67
"LDPL","Current","Both","OUTSIDE FIR NW",3259.94
"LDSP","Current","Both","OUTSIDE FIR NW",11046.05
"LDZD","Current","Both","OUTSIDE FIR NW",2458.42
"LDDU","PBN","Both","OUTSIDE FIR NW",2939.67
"LDPL","PBN","Both","OUTSIDE FIR NW",3259.94
"LDSP","PBN","Both","OUTSIDE FIR NW",11046.05
"LDZD","PBN","Both","OUTSIDE FIR NW",2458.42
"LDSB","Current","Both","OUTSIDE FIR S",218.17
"LDSP","Current","Both","OUTSIDE FIR S",2543.78
"LDZD","Current","Both","OUTSIDE FIR S",1014.3
"LDSB","PBN","Both","OUTSIDE FIR S",218.17
"LDSP","PBN","Both","OUTSIDE FIR S",2543.78
"LDZD","PBN","Both","OUTSIDE FIR S",1014.3
"LDZA","Current","Both","PERAN",998.51
"LDZA","PBN","Both","PERAN",998.51
"LDZA","Current","Both","PEROT",2010.23
"LDZA","PBN","Both","PEROT",2010.23
"LDDU","Current","Both","PETOV",8984.36
"LDPL","Current","Both","PETOV",578.47
"LDSB","Current","Both","PETOV",695.97
"LDSP","Current","Both","PETOV",31662.48
"LDZA","Current","Both","PETOV",1304.63
"LDDU","PBN","Both","PETOV",8984.36
"LDPL","PBN","Both","PETOV",578.47
"LDSB","PBN","Both","PETOV",695.97
"LDSP","PBN","Both","PETOV",31662.48
"LDZA","PBN","Both","PETOV",1304.63
"LDDU","Current","Both","PEVAL",9963.02
"LDPL","Current","Both","PEVAL",19955.03
"LDSB","Current","Both","PEVAL",2961.93
"LDSP","Current","Both","PEVAL",2252.06
"LDZD","Current","Both","PEVAL",3075.13
"LDDU","PBN","Both","PEVAL",9963.02
"LDPL","PBN","Both","PEVAL",19955.03
"LDSB","PBN","Both","PEVAL",2961.93
"LDSP","PBN","Both","PEVAL",2252.06
"LDZD","PBN","Both","PEVAL",3075.13
"LDDU","Current","Both","PEVAL 1",22326.36
"LDSB","Current","Both","PEVAL 1",3957.28
"LDSP","Current","Both","PEVAL 1",36260.05
"LDZD","Current","Both","PEVAL 1",18618.73
"LDDU","PBN","Both","PEVAL 1",22326.36
"LDSB","PBN","Both","PEVAL 1",3957.28
"LDSP","PBN","Both","PEVAL 1",36260.05
"LDZD","PBN","Both","PEVAL 1",18618.73
"LDZA","Current","Both","PODET",10678.12
"LDZA","PBN","Both","PODET",10678.12
"LDZA","Current","Both","PODOB",875.57
"LDZA","PBN","Both","PODOB",875.57
"LDDU","Current","Both","ROTAR",29499.27
"LDPL","Current","Both","ROTAR",2153.95
"LDSB","Current","Both","ROTAR",1744.23
"LDSP","Current","Both","ROTAR",1388.68
"LDZA","Current","Both","ROTAR",5413.24
"LDDU","PBN","Both","ROTAR",29499.27
"LDPL","PBN","Both","ROTAR",2153.95
"LDSB","PBN","Both","ROTAR",1744.23
"LDSP","PBN","Both","ROTAR",1388.68
"LDZA","PBN","Both","ROTAR",5413.24
"LDSB","Current","Both","ROTAR 1",821.53
"LDSP","Current","Both","ROTAR 1",11001.54
"LDSB","PBN","Both","ROTAR 1",821.53
"LDSP","PBN","Both","ROTAR 1",11001.54
"LDDU","Current","Both","SABAD",18314.46
"LDSB","Current","Both","SABAD",528.63
"LDSP","Current","Both","SABAD",17239.11
"LDZD","Current","Both","SABAD",424.9
"LDDU","PBN","Both","SABAD",18314.46
"LDSB","PBN","Both","SABAD",528.63
"LDSP","PBN","Both","SABAD",17239.11
"LDZD","PBN","Both","SABAD",424.9
"LDSP","Current","Both","SABAD 1",4841.28
"LDSP","PBN","Both","SABAD 1",4841.28
"LDPL","Current","Both","SOMUN",792.25
"LDSP","Current","Both","SOMUN",747.98
"LDPL","PBN","Both","SOMUN",792.25
"LDSP","PBN","Both","SOMUN",747.98
"LDDU","Current","Both","TORPO",4658.97
"LDSB","Current","Both","TORPO",2314.08
"LDSP","Current","Both","TORPO",4562.16
"LDZD","Current","Both","TORPO",2437.77
"LDDU","PBN","Both","TORPO",4658.97
"LDSB","PBN","Both","TORPO",2314.08
"LDSP","PBN","Both","TORPO",4562.16
"LDZD","PBN","Both","TORPO",2437.77
"LDZA","Current","Both","TUVAR",649.85
"LDZA","PBN","Both","TUVAR",649.85
"LDZA","Current","Both","TUVAR 1",11798.08
"LDZA","PBN","Both","TUVAR 1",11798.08
"LDZA","Current","Both","VAKSU",1151.65
"LDZA","PBN","Both","VAKSU",1151.65
"LDDU","Current","Both","VAPUP",1071.87
"LDSP","Current","Both","VAPUP",733
"LDDU","PBN","Both","VAPUP",1071.87
"LDSP","PBN","Both","VAPUP",733
"LDDU","Current","Both","VEBAL",2353.15
"LDSB","Current","Both","VEBAL",82.32
"LDDU","PBN","Both","VEBAL",2353.15
"LDSB","PBN","Both","VEBAL",82.32
"LDSP","Current","Both","VEBAL 3",29044.98
"LDSP","PBN","Both","VEBAL 3",29044.98
"LDDU","Current","Both","VEBAR",1893.1
"LDPL","Current","Both","VEBAR",726.03
"LDSP","Current","Both","VEBAR",643.57
"LDDU","PBN","Both","VEBAR",1893.1
"LDPL","PBN","Both","VEBAR",726.03
"LDSP","PBN","Both","VEBAR",643.57
"LDDU","Current","Both","VELUG",4897.43
"LDSP","Current","Both","VELUG",5199.32
"LDDU","PBN","Both","VELUG",4897.43
"LDSP","PBN","Both","VELUG",5199.32
"LDDU","Current","Both","XAMIT",3558.2
"LDZD","Current","Both","XAMIT",3018.78
"LDDU","PBN","Both","XAMIT",3558.2
"LDZD","PBN","Both","XAMIT",3018.78
"LDDU","Current","Both","XOLTA",1682.72
"LDZA","Current","Both","XOLTA",970.38
"LDDU","PBN","Both","XOLTA",1682.72
"LDZA","PBN","Both","XOLTA",970.38
"LDDU","Current","Arrival","All",78460.96
"LDLO","Current","Arrival","All",144.63
"LDOS","Current","Arrival","All",1575.82
"LDPL","Current","Arrival","All",15356.53
"LDRI","Current","Arrival","All",1689.85
"LDSB","Current","Arrival","All",8765.93
"LDSP","Current","Arrival","All",84773.1
"LDZA","Current","Arrival","All",31179.42
"LDZD","Current","Arrival","All",17163.59
"LDDU","PBN","Arrival","All",78460.96
"LDLO","PBN","Arrival","All",144.63
"LDOS","PBN","Arrival","All",1575.82
"LDPL","PBN","Arrival","All",15356.53
"LDRI","PBN","Arrival","All",1689.85
"LDSB","PBN","Arrival","All",8765.93
"LDSP","PBN","Arrival","All",84773.1
"LDZA","PBN","Arrival","All",31179.42
"LDZD","PBN","Arrival","All",17163.59
"LDDU","Current","Departure","All",161302.99
"LDLO","Current","Departure","All",138.62
"LDOS","Current","Departure","All",1688.34
"LDPL","Current","Departure","All",46084.93
"LDRI","Current","Departure","All",10689.94
"LDSB","Current","Departure","All",13072.35
"LDSP","Current","Departure","All",186130.21
"LDZA","Current","Departure","All",62346.07
"LDZD","Current","Departure","All",42029.72
"LDDU","PBN","Departure","All",161302.99
"LDLO","PBN","Departure","All",138.62
"LDOS","PBN","Departure","All",1688.34
"LDPL","PBN","Departure","All",46084.93
"LDRI","PBN","Departure","All",10689.94
"LDSB","PBN","Departure","All",13072.35
"LDSP","PBN","Departure","All",186130.21
"LDZA","PBN","Departure","All",62346.07
"LDZD","PBN","Departure","All",42029.72
"LDDU","Current","Both","All",239763.95
"LDLO","Current","Both","All",283.25
"LDOS","Current","Both","All",3264.16
"LDPL","Current","Both","All",61441.46
"LDRI","Current","Both","All",12379.79
"LDSB","Current","Both","All",21838.28
"LDSP","Current","Both","All",270903.31
"LDZA","Current","Both","All",93525.49
"LDZD","Current","Both","All",59193.31
"LDDU","PBN","Both","All",239763.95
"LDLO","PBN","Both","All",283.25
"LDOS","PBN","Both","All",3264.16
"LDPL","PBN","Both","All",61441.46
"LDRI","PBN","Both","All",12379.79
"LDSB","PBN","Both","All",21838.28
"LDSP","PBN","Both","All",270903.31
"LDZA","PBN","Both","All",93525.49
"LDZD","PBN","Both","All",59193.31
"All","Current","Both","All",762593
"All","PBN","Both","All",762593
