"Sector","ConflictType","Scenario","freq"
"ACC_ZAGREB","Crossing Both In Vertical","PBN",5
"ACC_ZAGREB","Crossing One In Vertical","Current",2
"ACC_ZAGREB","Crossing One In Vertical","PBN",2
"ACC_ZAGREB","Opposite Both In Vertical","Current",6
"ACC_ZAGREB","Opposite Both In Vertical","PBN",10
"ACC_ZAGREB","Opposite One In Vertical","Current",15
"ACC_ZAGREB","Opposite One In Vertical","PBN",15
"ACC_ZAGREB","Same Track Both Cruising","Current",1
"ACC_ZAGREB","Same Track Both In Vertical","Current",2
"ACC_ZAGREB","Same Track One In Vertical","Current",5
"ACC_ZAGREB","Same Track One In Vertical","PBN",7
"CTR_BRAC","Crossing Both In Vertical","Current",1
"CTR_BRAC","Crossing Both In Vertical","PBN",1
"CTR_BRAC","Crossing One In Vertical","Current",1
"CTR_BRAC","Crossing One In Vertical","PBN",1
"CTR_DUBROVNIK","Crossing Both Cruising","PBN",1
"CTR_DUBROVNIK","Crossing Both In Vertical","Current",1
"CTR_DUBROVNIK","Crossing One In Vertical","Current",5
"CTR_DUBROVNIK","Crossing One In Vertical","PBN",7
"CTR_DUBROVNIK","Opposite One In Vertical","Current",8
"CTR_DUBROVNIK","Opposite One In Vertical","PBN",11
"CTR_DUBROVNIK","Same Track Both Cruising","Current",1
"CTR_DUBROVNIK","Same Track Both In Vertical","Current",16
"CTR_DUBROVNIK","Same Track Both In Vertical","PBN",18
"CTR_DUBROVNIK","Same Track One In Vertical","Current",8
"CTR_DUBROVNIK","Same Track One In Vertical","PBN",6
"CTR_LOSINJ","Crossing Both In Vertical","Current",1
"CTR_LOSINJ","Crossing Both In Vertical","PBN",1
"CTR_LOSINJ","Opposite Both In Vertical","Current",1
"CTR_LOSINJ","Opposite Both In Vertical","PBN",1
"CTR_PULA","Crossing One In Vertical","Current",6
"CTR_PULA","Crossing One In Vertical","PBN",6
"CTR_PULA","Opposite Both In Vertical","Current",1
"CTR_PULA","Opposite One In Vertical","Current",4
"CTR_PULA","Same Track Both In Vertical","Current",2
"CTR_PULA","Same Track Both In Vertical","PBN",3
"CTR_PULA","Same Track One In Vertical","Current",1
"CTR_RIJEKA","Opposite One In Vertical","Current",2
"CTR_RIJEKA","Opposite One In Vertical","PBN",2
"CTR_SPLIT","Crossing One In Vertical","Current",2
"CTR_SPLIT","Crossing One In Vertical","PBN",1
"CTR_SPLIT","Opposite Both In Vertical","Current",1
"CTR_SPLIT","Same Track Both In Vertical","PBN",1
"CTR_ZADAR","Crossing Both In Vertical","Current",2
"CTR_ZADAR","Crossing Both In Vertical","PBN",4
"CTR_ZADAR","Opposite One In Vertical","Current",1
"CTR_ZADAR","Opposite One In Vertical","PBN",1
"CTR_ZADAR","Same Track One In Vertical","Current",2
"CTR_ZADAR","Same Track One In Vertical","PBN",2
"CTR_ZAGREB","Opposite One In Vertical","Current",1
"CTR_ZAGREB","Same Track Both In Vertical","Current",6
"CTR_ZAGREB","Same Track Both In Vertical","PBN",6
"FIC_ZAGREB","Same Track Both Cruising","Current",1
"FIC_ZAGREB","Same Track Both Cruising","PBN",1
"FIC_ZAGREB","Same Track One In Vertical","Current",1
"FIC_ZAGREB","Same Track One In Vertical","PBN",1
"LQSB_FIR","Same Track Both In Vertical","Current",1
"OUTSIDE_FIR_E","Crossing Both In Vertical","PBN",1
"OUTSIDE_FIR_E","Crossing One In Vertical","Current",1
"OUTSIDE_FIR_E","Crossing One In Vertical","PBN",1
"OUTSIDE_FIR_E","Opposite Both In Vertical","Current",2
"OUTSIDE_FIR_E","Opposite Both In Vertical","PBN",1
"OUTSIDE_FIR_N","Crossing Both In Vertical","Current",5
"OUTSIDE_FIR_N","Crossing Both In Vertical","PBN",5
"OUTSIDE_FIR_N","Crossing One In Vertical","Current",1
"OUTSIDE_FIR_N","Crossing One In Vertical","PBN",1
"OUTSIDE_FIR_N","Opposite Both In Vertical","Current",1
"OUTSIDE_FIR_N","Opposite Both In Vertical","PBN",1
"OUTSIDE_FIR_N","Opposite One In Vertical","Current",7
"OUTSIDE_FIR_N","Opposite One In Vertical","PBN",3
"OUTSIDE_FIR_N","Same Track One In Vertical","Current",3
"OUTSIDE_FIR_N","Same Track One In Vertical","PBN",4
"OUTSIDE_FIR_W","Same Track Both Cruising","Current",2
"TMA_DUBROVNIK","Crossing Both In Vertical","Current",6
"TMA_DUBROVNIK","Crossing Both In Vertical","PBN",5
"TMA_DUBROVNIK","Crossing One In Vertical","Current",1
"TMA_DUBROVNIK","Crossing One In Vertical","PBN",6
"TMA_DUBROVNIK","Opposite Both Cruising","Current",1
"TMA_DUBROVNIK","Opposite Both Cruising","PBN",1
"TMA_DUBROVNIK","Opposite Both In Vertical","Current",1
"TMA_DUBROVNIK","Opposite One In Vertical","PBN",2
"TMA_DUBROVNIK","Same Track Both In Vertical","PBN",5
"TMA_DUBROVNIK","Same Track One In Vertical","Current",3
"TMA_DUBROVNIK","Same Track One In Vertical","PBN",5
"TMA_OSIJEK","Same Track One In Vertical","PBN",1
"TMA_PULA","Crossing Both Cruising","Current",1
"TMA_PULA","Crossing Both Cruising","PBN",1
"TMA_PULA","Crossing Both In Vertical","Current",1
"TMA_PULA","Crossing Both In Vertical","PBN",2
"TMA_PULA","Crossing One In Vertical","Current",12
"TMA_PULA","Crossing One In Vertical","PBN",9
"TMA_PULA","Opposite One In Vertical","Current",2
"TMA_PULA","Opposite One In Vertical","PBN",3
"TMA_PULA","Same Track Both In Vertical","Current",2
"TMA_PULA","Same Track One In Vertical","Current",4
