"ID","Sector","Start_Time","Closest_Time","End_Time","ConflictType","Severity","VerticalSeverity","LateralConflictType","VerticalConflictType","VerticalSeparation","ReqVerticalSeparation","LateralSeparation","ReqLateralSeparation","Altitude_ft","FlightPlanPhase1","FlightPlanPhase2","Longitude","Latitude","Scenario"
"REAL_JSH525_TRA79L_1","CTR_PULA","12:52:32","12:53:34","12:53:34","CrossingBothInVertical","0","3","Crossing","BothInVertical",958,1000,8.6,5,1521,"Holding","ApproachLeg",13.9333366666667,44.8579405555556,"Current"
"REAL_CTN658_VMP12#2_1","TMA_ZAGREB","12:54:54","12:54:54","12:55:46","CrossingBothInVertical","2","3","Crossing","BothInVertical",923,1000,5.2,5,6641,"EnRoute","Sid",16.1729452777778,45.7180227777778,"Current"
"REAL_MRONE#2_STK67R_1","TMA_ZADAR","12:56:40","12:56:40","12:56:40","OppositeBothInVertical","0","3","Opposite","BothInVertical",953,1000,9.9,5,6238,"ApproachLeg","EnRoute",15.1298047222222,44.2636797222222,"Current"
"REAL_JSH525_TDR818_1","CTR_PULA","12:56:54","12:57:06","12:57:34","CrossingBothInVertical","4","4","Crossing","BothInVertical",209,1000,1.9,5,1228,"ApproachLeg","Sid",13.9410177777778,44.8789930555556,"Current"
"REAL_TVS4AC_VJT417_1","CTR_DUBROVNIK","13:02:10","13:02:10","13:02:46","SameTrackBothInVertical","0","3","SameTrack","BothInVertical",951,1000,7.8,5,1816,"Sid","ApproachLeg",18.2199486111111,42.58052,"Current"
"REAL_CTN384_CTN8A_1","LQSB_FIR","13:06:04","13:06:04","13:07:06","SameTrackOneInVertical","4","3","SameTrack","OneInVertical",905,1000,1.8,5,25452,"EnRoute","EnRoute",17.3880047222222,43.7466441666667,"Current"
"REAL_EWG2XC_STK67R_1","ACC_ZAGREB","13:12:14","13:12:14","13:18:50","SameTrackOneInVertical","0","3","SameTrack","OneInVertical",970,1000,7.5,5,33515,"EnRoute","EnRoute",13.2538491666667,45.3079091666667,"Current"
"REAL_EZS19DF_GMI23TJ_1","CTR_DUBROVNIK","13:12:58","13:20:08",NA,"CrossingBothInVertical","6","6","Crossing","BothInVertical",4,1000,0,5,3273,"ApproachLeg","ApproachLeg",18.0808544444444,42.6353719444444,"Current"
"REAL_CTN8A_EZS19DF_1","TMA_DUBROVNIK","13:15:12","13:16:58",NA,"CrossingBothInVertical","5","4","Crossing","BothInVertical",219,1000,0.6,5,6418,"ApproachLeg","ApproachLeg",17.8749891666667,42.7167505555556,"Current"
"REAL_CTN8A_GMI23TJ_1","CTR_DUBROVNIK","13:15:14","13:20:52",NA,"CrossingBothInVertical","6","5","Crossing","BothInVertical",12,1000,0,5,2863,"ApproachLeg","ApproachLeg",18.1064458333333,42.6253286111111,"Current"
"REAL_VMP12#2_2_VITEZ04#2_2_2","TMA_ZAGREB","13:17:00","13:17:00","13:25:08","SameTrackBothCruising","0","6","SameTrack","BothCruising",0,1000,8.4,5,5000,"EnRoute","EnRoute",17.0288025,45.6939861111111,"Current"
"REAL_CTN384_GMI23TJ_1","CTR_DUBROVNIK","13:20:56","13:24:08",NA,"SameTrackBothInVertical","4","3","SameTrack","BothInVertical",660,1000,2.2,5,1442,"ApproachLeg","FinalApproach",18.1962741666667,42.5897975,"Current"
"REAL_CTN384_CTN8A_2","CTR_DUBROVNIK","13:21:00","13:24:06",NA,"SameTrackBothInVertical","4","3","SameTrack","BothInVertical",681,1000,2.3,5,1449,"ApproachLeg","FinalApproach",18.1958658333333,42.5899594444444,"Current"
"REAL_CTN384_EZS19DF_1","CTR_DUBROVNIK","13:21:20","13:21:46","13:23:02","SameTrackBothInVertical","3","3","SameTrack","BothInVertical",916,1000,2.9,5,2624,"ApproachLeg","ApproachLeg",18.1211769444444,42.6195025,"Current"
"REAL_9ABPR#6_EZY6270_1","TMA_PULA","13:22:30","13:22:30","13:23:16","SameTrackOneInVertical","1","3","SameTrack","OneInVertical",981,1000,7.2,5,2509,"EnRoute","Sid",14.0139194444444,44.8391488888889,"Current"
"REAL_DLH8FR_EZY4740#2_1","OUTSIDE_FIR_N","13:29:34","13:29:34","13:30:08","OppositeOneInVertical","3","5","Opposite","OneInVertical",85,1000,3.3,5,34957,"EnRoute","EnRoute",14.4052141666667,46.5428602777778,"Current"
"REAL_CTN245T_CTN2840_1","TMA_SPLIT","13:33:50","13:33:52","13:34:16","SameTrackBothInVertical","0","3","SameTrack","BothInVertical",833,1000,7.6,5,6792,"EnRoute","Sid",16.4945263888889,43.4922466666667,"Current"
"REAL_AUA684T_PHHRK#2_1","TMA_ZAGREB","13:40:32","13:40:32","13:41:18","SameTrackBothInVertical","0","3","SameTrack","BothInVertical",984,1000,7.8,5,7845,"Sid","Sid",16.18501,45.8889316666667,"Current"
"REAL_AOJ40T_AFR22CR_1","OUTSIDE_FIR_N","13:43:46","13:44:00","13:44:00","CrossingBothInVertical","1","3","Crossing","BothInVertical",953,1000,7.4,5,24618,"EnRoute","EnRoute",14.9160536111111,46.3349852777778,"Current"
"REAL_CTN52R_DUCK92_1","TMA_SPLIT","13:44:24","13:45:00","13:45:00","SameTrackOneInVertical","0","3","SameTrack","OneInVertical",883,1000,9.9,5,4441,"Sid","EnRoute",16.4847597222222,43.5374502777778,"Current"
"REAL_ADR853_JSY218D_1","ACC_ZAGREB","13:47:10","13:47:20","13:47:48","SameTrackBothInVertical","0","4","SameTrack","BothInVertical",381,1000,7.5,5,34190,"EnRoute","EnRoute",17.5370663888889,44.4791419444444,"Current"
"REAL_EWG9900_AEE780_1","TMA_ZAGREB","13:47:20","13:47:20","13:48:54","CrossingOneInVertical","3","3","Crossing","OneInVertical",952,1000,4.4,5,3476,"ApproachLeg","ApproachLeg",15.8386208333333,45.6176805555556,"Current"
"REAL_TVL5087_ASL93N_1","OUTSIDE_FIR_E","13:47:50","13:48:18","13:48:18","OppositeBothInVertical","4","3","Opposite","BothInVertical",984,1000,2.1,5,18163,"EnRoute","EnRoute",18.6413291666667,42.607855,"Current"
"REAL_AUA72HR_ADR1278_1","ACC_ZAGREB","13:48:14","13:48:14","13:48:44","OppositeOneInVertical","3","3","Opposite","OneInVertical",951,1000,2.8,5,33524,"EnRoute","EnRoute",16.3915269444444,45.3115186111111,"Current"
"REAL_ADR705_ADR1278_1","ACC_ZAGREB","13:49:44","13:49:44","13:50:18","OppositeBothInVertical","4","3","Opposite","BothInVertical",884,1000,1.2,5,34934,"EnRoute","EnRoute",16.4826508333333,45.1333091666667,"Current"
"REAL_CTN2840_ADR705_1","ACC_ZAGREB","13:50:38","13:50:50","13:50:50","CrossingBothInVertical","0","3","Crossing","BothInVertical",925,1000,9.3,5,33203,"EnRoute","EnRoute",16.2351425,45.2555297222222,"Current"
"REAL_9ARED#4_EZY21FD_1","TMA_SPLIT","13:54:44","13:55:24","13:55:24","CrossingOneInVertical","3","3","Crossing","OneInVertical",914,1000,3.8,5,9457,"EnRoute","Sid",16.3712708333333,43.4545255555556,"Current"
"REAL_N1243X_CTN3RC#2_1","TMA_DUBROVNIK","13:56:34","13:56:34","13:56:50","SameTrackOneInVertical","0","3","SameTrack","OneInVertical",975,1000,9.9,5,1487,"Holding","ApproachLeg",18.0555808333333,42.6238505555556,"Current"
"REAL_AUA79T_ADR853_1","ACC_ZAGREB","13:59:40","13:59:40","13:59:50","CrossingOneInVertical","0","3","Crossing","OneInVertical",899,1000,8.9,5,30449,"EnRoute","EnRoute",16.2094486111111,45.3816952777778,"Current"
"REAL_9ARED#4_VLG6733_1","TMA_SPLIT","13:59:44","13:59:44","14:00:12","CrossingOneInVertical","0","3","Crossing","OneInVertical",975,1000,7.6,5,8512,"EnRoute","Sid",16.4912830555556,43.4138891666667,"Current"
"REAL_N1243X_TVL5087_1","CTR_DUBROVNIK","14:00:22","14:00:22",NA,"SameTrackOneInVertical","0","3","SameTrack","OneInVertical",962,1000,7.5,5,1481,"ApproachLeg","ApproachLeg",18.0808011111111,42.615045,"Current"
"REAL_DLH3NL_ADR705_1","OUTSIDE_FIR_N","14:00:44","14:00:44","14:00:52","OppositeBothInVertical","0","3","Opposite","BothInVertical",977,1000,9.1,5,11652,"EnRoute","EnRoute",15.23027,45.9072558333333,"Current"
"REAL_9ARED#4_JAF10A_1","TMA_SPLIT","14:03:44","14:03:44","14:04:20","CrossingOneInVertical","3","3","Crossing","OneInVertical",949,1000,2.8,5,8525,"EnRoute","Sid",16.7364986111111,43.2859472222222,"Current"
"REAL_ADR705_DEEKE_1","OUTSIDE_FIR_N","14:06:36","14:07:10","14:07:10","OppositeOneInVertical","1","3","Opposite","OneInVertical",971,1000,6.8,5,2514,"EnRoute","EnRoute",14.5420647222222,46.2094836111111,"Current"
"REAL_ADR7L_DEEKE_1","OUTSIDE_FIR_N","14:08:54","14:10:28","14:10:32","OppositeOneInVertical","4","3","Opposite","OneInVertical",901,1000,1.8,5,2549,"EnRoute","EnRoute",14.5718838888889,46.1494163888889,"Current"
"REAL_ADR853_DEEKE_1","OUTSIDE_FIR_N","14:12:26","14:12:34","14:13:58","OppositeOneInVertical","3","3","Opposite","OneInVertical",790,1000,4.6,5,3395,"EnRoute","EnRoute",14.6319741666667,46.0906822222222,"Current"
"REAL_CTN4462_EZS1039_1","TMA_SPLIT","14:21:36","14:21:40","14:21:40","OppositeBothInVertical","0","3","Opposite","BothInVertical",886,1000,9.1,5,16853,"EnRoute","ApproachLeg",15.9091311111111,43.8893858333333,"Current"
"REAL_CTN4462_SCW11C_1","TMA_SPLIT","14:22:28","14:22:42","14:22:42","OppositeBothInVertical","1","3","Opposite","BothInVertical",899,1000,7.3,5,18073,"EnRoute","ApproachLeg",15.8742838888889,43.9481425,"Current"
"REAL_CTN5J_EZS59NC_1","TMA_SPLIT","14:24:32","14:24:34","14:24:34","CrossingBothInVertical","0","3","Crossing","BothInVertical",962,1000,9.9,5,2848,"Sid","FinalApproach",16.2649236111111,43.4857855555556,"Current"
"REAL_IBK6180_AFR62TY_1","CTR_DUBROVNIK","14:27:10","14:27:32","14:27:42","SameTrackBothInVertical","0","4","SameTrack","BothInVertical",271,1000,9.2,5,2609,"ApproachLeg","Sid",18.2218341666667,42.5798105555556,"Current"
"REAL_9ARED#4_EZY16XU_1","TMA_DUBROVNIK","14:28:36","14:29:56","14:29:56","SameTrackOneInVertical","3","3","SameTrack","OneInVertical",980,1000,3.7,5,8510,"EnRoute","ApproachLeg",17.7765811111111,42.7330877777778,"Current"
"REAL_JAF10A_BEL3357_1","ACC_ZAGREB","14:29:24","14:29:24","14:29:28","OppositeOneInVertical","0","3","Opposite","OneInVertical",949,1000,8.9,5,30474,"EnRoute","EnRoute",13.6319191666667,45.1024886111111,"Current"
"REAL_CTN5J_JUNKY21_2_1","TMA_SPLIT","14:30:00","14:30:00","14:30:32","CrossingOneInVertical","0","3","Crossing","OneInVertical",981,1000,8,5,13509,"EnRoute","ApproachLeg",16.2275655555556,43.6034194444444,"Current"
"REAL_MRONE_9ADZF_1","CTR_DUBROVNIK","14:38:48","14:39:44","14:39:44","SameTrackOneInVertical","3","5","SameTrack","OneInVertical",111,1000,3.1,5,1055,"FinalApproach","Sid",18.2402408333333,42.5619783333333,"Current"
"REAL_BEL3357_JUNKY21_2_1","TMA_ZADAR","14:43:18","14:43:42","14:43:42","OppositeBothInVertical","1","3","Opposite","BothInVertical",961,1000,7.2,5,4019,"ApproachLeg","ApproachLeg",15.1632327777778,44.1752358333333,"Current"
"REAL_JAF6017_BTI9PG_1","TMA_DUBROVNIK","14:54:50","14:55:52","14:56:46","CrossingBothInVertical","5","5","Crossing","BothInVertical",36,1000,0.5,5,13269,"EnRoute","ApproachLeg",18.44401,42.4598036111111,"Current"
"REAL_RYR15QH_DUCK92_1","CTR_ZADAR","14:56:56","14:56:56","14:57:12","SameTrackBothInVertical","1","3","SameTrack","BothInVertical",606,1000,6.6,5,1375,"Sid","FinalApproach",15.3076302777778,44.0718783333333,"Current"
"REAL_N1243X#2_N889JA#2_1","CTR_DUBROVNIK","14:58:20","14:58:20","14:58:46","SameTrackOneInVertical","1","5","SameTrack","OneInVertical",17,1000,6.2,5,1008,"Sid","Sid",18.3322991666667,42.5207202777778,"Current"
"REAL_VOE2720_BTI9PG_1","TMA_DUBROVNIK","15:00:22","15:01:08","15:01:08","OppositeBothInVertical","1","3","Opposite","BothInVertical",979,1000,6.4,5,6010,"ApproachLeg","ApproachLeg",17.9119675,42.6425833333333,"Current"
"REAL_CTN641_JSY216D_1","TMA_ZAGREB","15:06:12","15:06:42","15:06:42","CrossingBothInVertical","0","3","Crossing","BothInVertical",963,1000,7.8,5,5518,"ApproachLeg","ApproachLeg",15.8556080555556,45.5038269444444,"Current"
"REAL_CTN641_JSY216D_2","CTR_ZAGREB","15:09:34","15:10:54","15:10:54","SameTrackOneInVertical","2","3","SameTrack","OneInVertical",966,1000,5.8,5,2517,"ApproachLeg","ApproachLeg",15.916455,45.6417438888889,"Current"
"REAL_MGX311_DLH7VT_1","ACC_ZAGREB","15:14:42","15:15:22","15:15:36","OppositeOneInVertical","5","3","Opposite","OneInVertical",886,1000,0.1,5,37443,"EnRoute","EnRoute",15.8774894444444,44.4229197222222,"Current"
"REAL_CSA6900_EWG961_1","OUTSIDE_FIR_N","15:19:04","15:19:22","15:20:00","OppositeOneInVertical","1","4","Opposite","OneInVertical",394,1000,6.8,5,20803,"EnRoute","Sid",14.787445,45.4660383333333,"Current"
"REAL_CSA6900_SCW7D_1","ACC_ZAGREB","15:38:50","15:39:20","15:39:40","SameTrackOneInVertical","1","5","SameTrack","OneInVertical",90,1000,7.4,5,20955,"EnRoute","ApproachLeg",15.9275611111111,44.1609983333333,"Current"
"REAL_CTN438_SCW7D_1","TMA_SPLIT","15:39:24","15:39:54","15:39:54","OppositeBothInVertical","3","3","Opposite","BothInVertical",889,1000,2.9,5,19846,"EnRoute","ApproachLeg",15.8696927777778,44.0613775,"Current"
"REAL_CSA6900_CTN438_1","ACC_ZAGREB","15:39:40","15:40:06","15:40:32","OppositeOneInVertical","0","4","Opposite","OneInVertical",493,1000,9,5,20753,"EnRoute","EnRoute",15.96339,44.0905891666667,"Current"
"REAL_CSA6900_DLH1717_1","ACC_ZAGREB","15:40:54","15:41:10","15:41:10","OppositeOneInVertical","0","3","Opposite","OneInVertical",978,1000,8.4,5,21489,"EnRoute","Sid",16.2099877777778,44.0481744444444,"Current"
"REAL_CSA6900_EZS94DN_1","TMA_SPLIT","15:49:02","15:49:10","15:49:24","SameTrackBothInVertical","0","4","SameTrack","BothInVertical",199,1000,7.5,5,7445,"EnRoute","Sid",16.4890977777778,43.4981952777778,"Current"
"REAL_9ARED_EZS1424_1","TMA_DUBROVNIK","15:55:58","15:55:58","15:56:00","CrossingOneInVertical","0","3","Crossing","OneInVertical",942,1000,9.9,5,2529,"EnRoute","EnRoute",18.6015372222222,42.3975733333333,"Current"
"REAL_9ARED_EZY63AL_1","CTR_DUBROVNIK","15:58:28","15:59:14","15:59:14","OppositeOneInVertical","3","3","Opposite","OneInVertical",970,1000,3.7,5,3485,"EnRoute","Sid",18.3428780555556,42.4861419444444,"Current"
"REAL_EZY969B_EWG2AL_1","TMA_PULA","16:09:36","16:10:00","16:10:00","SameTrackBothInVertical","2","3","SameTrack","BothInVertical",913,1000,5.5,5,9719,"ApproachLeg","EnRoute",13.9431544444444,45.0076641666667,"Current"
"REAL_9ARED_9ADZF_1","TMA_DUBROVNIK","16:14:36","16:17:08","16:19:42","OppositeBothCruising","5","6","Opposite","BothCruising",0,1000,0.5,5,3000,"EnRoute","EnRoute",17.6030641666667,42.7261827777778,"Current"
"REAL_SCW12C_CTN414_1","OUTSIDE_FIR_N","16:33:38","16:33:38","16:34:54","SameTrackOneInVertical","3","3","SameTrack","OneInVertical",978,1000,2.7,5,27511,"EnRoute","EnRoute",15.9871236111111,46.8482969444444,"Current"
"REAL_9ARED_CSA6903_1","CTR_BRAC","16:37:50","16:37:56","16:37:56","CrossingOneInVertical","0","3","Crossing","OneInVertical",974,1000,9.7,5,3487,"ApproachLeg","Sid",16.8388052777778,43.2592033333333,"Current"
