"Airport","Scenario","RoutingType","Waypoint","TrackMiles"
"LDDU","Current","Both","XAMIT",472.5
"LDZD","Current","Both","XAMIT",255
"LDDU","Current","Both","XOLTA",190.3
"LDZA","Current","Both","XOLTA",252
"LDDU","Current","Arrival","All",20158.49979
"LDLO","Current","Arrival","All",116.4
"LDOS","Current","Arrival","All",643.7
"LDPL","Current","Arrival","All",5944.99999
"LDRI","Current","Arrival","All",760.8
"LDSB","Current","Arrival","All",3016.90003
"LDSP","Current","Arrival","All",21513.89987
"LDZA","Current","Arrival","All",8217.69999
"LDZD","Current","Arrival","All",5709.09997
"LDDU","PBN","Arrival","All",21245.59986
"LDLO","PBN","Arrival","All",116.3
"LDOS","PBN","Arrival","All",1036.6
"LDPL","PBN","Arrival","All",6431.00004
"LDRI","PBN","Arrival","All",794.7
"LDSB","PBN","Arrival","All",3430.00002
"LDSP","PBN","Arrival","All",22645.90001
"LDZA","PBN","Arrival","All",9871.30001
"LDZD","PBN","Arrival","All",6691.10002
"LDDU","Current","Departure","All",20876.59978
"LDLO","Current","Departure","All",99.9
"LDOS","Current","Departure","All",709.90001
"LDPL","Current","Departure","All",4623.79999
"LDRI","Current","Departure","All",1412.4
"LDSB","Current","Departure","All",3197.69996
"LDSP","Current","Departure","All",23112.60001
"LDZA","Current","Departure","All",7718.09994
"LDZD","Current","Departure","All",5386.09999
"LDDU","Current","Both","All",41035.09957
"LDLO","Current","Both","All",216.3
"LDOS","Current","Both","All",1353.60001
"LDPL","Current","Both","All",10568.79998
"LDRI","Current","Both","All",2173.2
"LDSB","Current","Both","All",6214.59999
"LDSP","Current","Both","All",44626.49988
"LDZA","Current","Both","All",15935.79993
"LDZD","Current","Both","All",11095.19996
"LDDU","PBN","Both","All",21245.59986
"LDLO","PBN","Both","All",116.3
"LDOS","PBN","Both","All",1036.6
"LDPL","PBN","Both","All",6431.00004
"LDRI","PBN","Both","All",794.7
"LDSB","PBN","Both","All",3430.00002
"LDSP","PBN","Both","All",22645.90001
"LDZA","PBN","Both","All",9871.30001
"LDZD","PBN","Both","All",6691.10002
"All","Current","Both","All",133219.09932
"All","PBN","Both","All",72262.49996
