"Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","RoutingType","Scenario","Runway","Waypoint","Airport"
"CSA6791","LDRI","LZKZ",433.05,165.3,"AT45(MEDIUM)","Departure","Current","1","KOPRY","LDRI"
"CSA7826","LKMT","LDSP",575.88,222.89999,"AT75(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"VLG127G","LEBL","LDZD",471.72,166.3,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDZD"
"QTR3QJ","OTHH","LDZA",824.98,235.5,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.E","LDZA"
"EZY59WT","LIMC","LDSP",813.53,225.7,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"EWG9RB","EDDS","LDSP",746.62,211.7,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"EZS69DH","LFSB","LDSP",896.4,211.60001,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"CTN341","LQSA","LDZA",703.83,171.7,"DH8D(MEDIUM)","Arrival","Current","1","LQSA","LDZA"
"THY3RA","LTBA","LDDU",224.78,102.8,"A320(MEDIUM)","Arrival","Current","1","MOKUN","LDDU"
"BUC8651","LICC","LDZD",1089.65,233.8,"MD82(MEDIUM)","Arrival","Current","1","AIOSA","LDZD"
"LOT8241","EETN","LDRI",138.13,84.6,"CRJ9(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"EWG6VH","EDDT","LDZD",424.9,154.2,"A320(MEDIUM)","Arrival","Current","1","SABAD","LDZD"
"VLG7723","LEBL","LDDU",523.87,168.7,"A320(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"DLH8LA","LDZA","EDDF",750.22,81.1,"CRJ9(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"GSW2988","LSZH","LDZD",508.95,167.7,"A319(MEDIUM)","Arrival","Current","1","PEVAL","LDZD"
"CTN4436","LDZA","EDDM",514.53,114.2,"DH8D(MEDIUM)","Departure","Current","1","PODET","LDZA"
"AUA681V","LOWW","LDZA",341.92,111.5,"DH8D(MEDIUM)","Arrival","Current","1","KOPRY","LDZA"
"CSA819","LDZA","LKPR",303.67,81.4,"AT75(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"SRK2AM","LSZB","LDZD",318.88,166.3,"SB20(MEDIUM)","Arrival","Current","1","LABIN","LDZD"
"EZY71WB","LFPG","LDSP",777.38,225.7,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"SAS2835","EKCH","LDPL",425.78,183.39999,"CRJ9(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDPL"
"N8181Y#2","LDRI","LFMV",58.8,129.3,"C402(MEDIUM)","Departure","Current","1","LABIN","LDRI"
"EWG9PR","EDDS","LDZD",612.22,161.39999,"A320(MEDIUM)","Arrival","Current","1","BUSET","LDZD"
"TJS91","LOWI","LDRI",197.97,84.5,"C650(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"THY36J","LTBA","LDZA",1008.28,240.39999,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.E","LDZA"
"EZY23NQ","LIRN","LDSP",604.48,168.5,"A320(MEDIUM)","Arrival","Current","1","AIOSA","LDSP"
"JAF4JW","EBBR","LDDU",1156,298.39999,"B737(MEDIUM)","Arrival","Current","1","SABAD","LDDU"
"CSA7827","LDSP","LKMT",723.4,230.10001,"AT75(MEDIUM)","Departure","Current","1","OBUTI.2","LDSP"
"VTE989#3","LDDU","LYPG",361.12,54.7,"GLEX(MEDIUM)","Departure","Current","1","LYPG","LDDU"
"AOJ48L","LWSK","LDSB",176.32,159.39999,"C25A(MEDIUM)","Arrival","Current","1","RODON","LDSB"
"IBK8NC","EKCH","LDSP",975.1,242.3,"B738(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDSP"
"VLG1277","LDZD","LEBL",1415.4,127.4,"A320(MEDIUM)","Departure","Current","1","XAMIT","LDZD"
"IBK5690","LEBL","LDDU",466.98,168.7,"B738(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"CTN410","LDZA","EDDF",1091.02,81.3,"A319(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"VOE22RX","LFML","LDDU",473.13,172.39999,"B712(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"IBK480","EFHK","LDSP",840.78,222.89999,"B738(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"EZY45AN","LFLL","LDDU",1203.4,250.89999,"A319(MEDIUM)","Arrival","Current","1","TORPO","LDDU"
"ENT990","LFPG","LDDU",1412.27,330.70001,"B738(MEDIUM)","Arrival","Current","1","LABIN","LDDU"
"BUC8652#2","LDZD","LICC",1603.38,127.6,"MD82(MEDIUM)","Departure","Current","1","XAMIT","LDZD"
"LOT8242","LDRI","EETN",900.12,107.4,"CRJ9(MEDIUM)","Departure","Current","1","ALIVO","LDRI"
"CTN76H","LDSP","LSZH",943.42,249,"DH8D(MEDIUM)","Departure","Current","1","ROTAR.1","LDSP"
"SAS7497","ENZV","LDSP",670.43,209.10001,"B737(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"VLG1280","LEBL","LDZA",707.12,191.3,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDZA"
"CTN374","LDZA","LEBL",907.93,114.1,"CRJ9(MEDIUM)","Departure","Current","1","PODET","LDZA"
"CSA6902","LOWW","LDSB",511.75,214.60001,"AT75(MEDIUM)","Arrival","Current","1","KOPRY","LDSB"
"SCW13X","EKCH","LDSP",968.33,228.8,"RJ1H(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"ASL20P","LYBE","LDZA",324.42,199.2,"AT72(MEDIUM)","Arrival","Current","1","TUVAR","LDZA"
"CTN422","LDSP","EDDL",1939.58,242.7,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"SCW5D","ESGG","LDSP",932.67,219.8,"RJ1H(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"ITE096#2","LKKB","LDZD",229.78,204.60001,"B350(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDZD"
"RWZ535","UUDD","LDPL",754.13,183.39999,"A321(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDPL"
"EZY38UA","EDDB","LDSP",795.27,220,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"NAX1904","ENGM","LDDU",1291.85,313.39999,"B738(MEDIUM)","Arrival","Current","1","PETOV","LDDU"
"CTN4AT","LDZA","LOWW",411.27,81.2,"DH8D(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"EZY43FU","EGKK","LDSP",759.57,211.8,"A320(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"JML200#2","LZIB","LDZD",447.63,194.10001,"E35L(MEDIUM)","Arrival","Current","1","KOPRY","LDZD"
"EWG45J","LDSP","EDDS",1939.58,242.7,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"PHHRK#3","EHAM","LDZA",63.15,86.4,"P180(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"EZY59QA","EHAM","LDDU",1189.7,314.89999,"A320(MEDIUM)","Arrival","Current","1","BUSET","LDDU"
"JAF37D","EBBR","LDSB",896.92,260.10001,"E190(MEDIUM)","Arrival","Current","1","PEVAL","LDSB"
"CTN5NL","LDZA","EHAM",1091.02,81.3,"A319(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"EZY84ER","EDDB","LDZD",489.48,161.39999,"A319(MEDIUM)","Arrival","Current","1","BUSET","LDZD"
"AUA682","LDZA","LOWW",406.75,81.2,"DH8D(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"TOM97Y","EGBB","LDPL",249.9,103.1,"B738(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"AUA733Y","LOWW","LDDU",889.07,269,"E190(MEDIUM)","Arrival","Current","1","KOPRY","LDDU"
"EZY26LM","LDSP","LIMC",2114.72,250.2,"A320(MEDIUM)","Departure","Current","1","ROTAR.1","LDSP"
"THY4JR","LDDU","LTBA",1128.27,76.9,"A320(MEDIUM)","Departure","Current","1","MOKUN","LDDU"
"CTN438P","LDSP","EDDM",873.22,226.60001,"DH8D(MEDIUM)","Departure","Current","1","ALIVO","LDSP"
"CTN320","LDZA","LKPR",411.27,81.2,"DH8D(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"EZY575T","EGSS","LDDU",1125.87,325.29999,"A319(MEDIUM)","Arrival","Current","1","PEVAL","LDDU"
"CTN480","LDZA","EKCH",750.22,81.1,"CRJ9(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"AVW712P","LDDU","LIMZ",1647.13,203.5,"B463(MEDIUM)","Departure","Current","1","VELUG","LDDU"
"SAS1835","ESGG","LDSP",763.93,209.10001,"A320(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"9ADWA","LDZD","LIPR",247.97,118.6,"C25A(MEDIUM)","Departure","Current","1","TORPO","LDZD"
"SAS1831","ESSA","LDSP",924.93,229,"B738(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"DCDTN#2","EDDR","LDZD",179.63,166.3,"C25C(MEDIUM)","Arrival","Current","1","LABIN","LDZD"
"NAX3AQ","ESSA","LDDU",1300.52,313.39999,"B738(MEDIUM)","Arrival","Current","1","PETOV","LDDU"
"EWG2CT","LDZD","EDDT",1723.73,168,"A320(MEDIUM)","Departure","Current","1","BUSET","LDZD"
"FIN8KC","EFHK","LDDU",259.72,107.4,"A321(MEDIUM)","Arrival","Current","1","MOKUN","LDDU"
"EWG3YD","EDDL","LDPL",572.13,134,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDPL"
"EZS38CE","LDSP","LFSB",1975.32,250.89999,"A319(MEDIUM)","Departure","Current","1","ROTAR.1","LDSP"
"CTN4482","LDSP","EKCH",2006.43,226.8,"A320(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"SAS2836","LDPL","EKCH",855.27,102.7,"CRJ9(MEDIUM)","Departure","Current","1","PEVAL","LDPL"
"EZY298U","EGSS","LDSP",781.63,211.60001,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"DLH3LL","EDDM","LDPL",158.67,103.1,"CRJ9(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"GSW2989","LDZD","LSZH",1609.02,169.5,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDZD"
"IBK2604","EGKK","LDDU",1342.85,322.70001,"B738(MEDIUM)","Arrival","Current","1","LABIN","LDDU"
"TOM6AV","EGGD","LDPL",247.77,103.1,"B738(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"SAS7335","ENZV","LDSP",1100.43,255.10001,"B738(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDSP"
"EZY52PT","EGKK","LDDU",1107.28,322.79999,"A319(MEDIUM)","Arrival","Current","1","BUSET","LDDU"
"EZY31YA","LDSP","LIRN",1453.78,129.60001,"A320(MEDIUM)","Departure","Current","1","VELUG","LDSP"
"NAX4349","ESSA","LDZA",286.42,98.9,"B738(MEDIUM)","Arrival","Current","1","PETOV","LDZA"
"CTN25F","LDZA","LFPG",1324.82,114.9,"A319(MEDIUM)","Departure","Current","1","PODET","LDZA"
"VLG7724","LDDU","LEBL",1649.63,168.89999,"A320(MEDIUM)","Departure","Current","1","KATTI","LDDU"
"SAS4781","ENGM","LDPL",561.9,213.5,"CRJ9(MEDIUM)","Arrival","Current","1","KOPRY","LDPL"
"EWG3N","LDZD","EDDS",1730.57,169.3,"A320(MEDIUM)","Departure","Current","1","PEVAL.1","LDZD"
"CTN4437","EDDM","LDZA",251.23,87.8,"DH8D(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"EZY28PN","LDSP","LFPG",1930.65,210.2,"A320(MEDIUM)","Departure","Current","1","BAXON","LDSP"
"CTN416","LDZA","EDDF",1131.48,81.2,"A320(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"NAX19X","ENGM","LDSP",797.42,209.10001,"B738(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"CTN460","LDZA","LSZH",514.53,114.2,"DH8D(MEDIUM)","Departure","Current","1","PODET","LDZA"
"TOM67B","EGCC","LDPL",250.53,103.1,"B738(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"EZY12XB","EGGW","LDZD",417.68,167.7,"A320(MEDIUM)","Arrival","Current","1","PEVAL","LDZD"
"SCW4U","ESGG","LDSP",866.75,209.10001,"RJ1H(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"EFD6S","LFLY","LDSB",329.6,181.7,"C680(MEDIUM)","Arrival","Current","1","TORPO","LDSB"
"SRK3AD","LDSB","LSZB",821.53,260.39999,"SB20(MEDIUM)","Departure","Current","1","ROTAR.1","LDSB"
"TOM1JH","EGKK","LDPL",414.8,134.10001,"B752(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDPL"
"THY9VB","LDZA","LTBA",1772.67,183.3,"A320(MEDIUM)","Departure","Current","1","TUVAR.1","LDZA"
"EZY63NJ","EGPH","LDDU",1189.7,314.89999,"A320(MEDIUM)","Arrival","Current","1","BUSET","LDDU"
"N702LK","LDDU","KDLH",1562.9,323,"GL5T(MEDIUM)","Departure","Current","1","DARZA","LDDU"
"EZY61CZ","EGGD","LDSP",812.52,226.3,"A320(MEDIUM)","Arrival","Current","1","BUSET","LDSP"
"BAW22LV","EGKK","LDDU",1347.08,350.60001,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDDU"
"IBK89V","LDSP","EKCH",2146.5,226.8,"B738(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"SAS2833","EKCH","LDDU",770.5,254.5,"CRJ9(MEDIUM)","Arrival","Current","1","BAREB","LDDU"
"IBK481","LDSP","EFHK",2065.97,206.2,"B738(MEDIUM)","Departure","Current","1","VEBAL.3","LDSP"
"JML200","LDZD","LIRQ",567.63,118.3,"E35L(MEDIUM)","Departure","Current","1","TORPO","LDZD"
"EXS33RY","EGBB","LDDU",1544,350.60001,"B738(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDDU"
"NAX37Y","ESSA","LDSP",941.58,242.3,"B738(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDSP"
"VOE22EH","LDDU","LFBD",1670.8,236.60001,"B712(MEDIUM)","Departure","Current","1","XAMIT","LDDU"
"IBE31ZZ","LEMD","LDDU",475.47,172.39999,"A319(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"SAS7498","LDSP","ENZV",1806.98,194.10001,"B737(MEDIUM)","Departure","Current","1","OUTSIDE.FIR.N.1","LDSP"
"DEPRW","LDZD","LOWL",64.12,160.39999,"BE36(MEDIUM)","Departure","Current","1","DARZA","LDZD"
"JAF3TK","LDDU","EBBR",2505.9,344.5,"B737(MEDIUM)","Departure","Current","1","PEVAL.1","LDDU"
"ITE096","LDZD","LKKV",186.53,126.4,"B350(MEDIUM)","Departure","Current","1","OUTSIDE.FIR.N","LDZD"
"DCM3580","LDDU","LWSK",340.6,76.5,"CL30(MEDIUM)","Departure","Current","1","MOKUN","LDDU"
"EZY89AG","LDDU","LFLL",2197.5,310.10001,"A319(MEDIUM)","Departure","Current","1","BAXON","LDDU"
"SAS7327","ENGM","LDSP",924.95,222.89999,"B738(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"IBK5691","LDDU","LEBL",1845.47,168.89999,"B738(MEDIUM)","Departure","Current","1","KATTI","LDDU"
"QTR4JJ","LDZA","OTHH",1792.87,183.39999,"A320(MEDIUM)","Departure","Current","1","TUVAR.1","LDZA"
"CSA6905","LDSB","LOWL",695.97,234.3,"AT75(MEDIUM)","Departure","Current","1","PETOV","LDSB"
"OEKLS","LOLW","LDPL",80.43,183.60001,"P28T(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDPL"
"SCW17Y","ESMS","LDSP",866.75,209.10001,"RJ1H(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"NAX95W","LDDU","ENGM",2534.67,301.39999,"B738(MEDIUM)","Departure","Current","1","OBUTI.2","LDDU"
"JAF7EY","LDSB","LFRG",1676.95,264,"E190(MEDIUM)","Departure","Current","1","ROTAR","LDSB"
"SCW14X","LDSP","EKCH",1923.65,243.60001,"RJ1H(MEDIUM)","Departure","Current","1","OUTSIDE.FIR.NE.1","LDSP"
"HAFEL","LDSB","LHSM",82.32,206.60001,"PA34(MEDIUM)","Departure","Current","1","VEBAL","LDSB"
"SAS7347","ENBR","LDSP",848.42,209.10001,"B738(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"NAX34AZ","LDDU","ESSA",1242,76.6,"B738(MEDIUM)","Departure","Current","1","MOKUN","LDDU"
"FIN5YN","EFHK","LDSP",1055.22,223.10001,"A321(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"SCW6D","LDSP","ESGG",1942.05,243.60001,"RJ1H(MEDIUM)","Departure","Current","1","OUTSIDE.FIR.NE.1","LDSP"
"EZY59HX","LDSP","EDDB",1878.48,228.2,"A319(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"S5BDM","LDZA","LYBE",395,177.3,"C56X(MEDIUM)","Departure","Current","1","PEROT","LDZA"
"CTN441","LOWW","LDZA",286.08,99.1,"DH8D(MEDIUM)","Arrival","Current","1","PETOV","LDZA"
"ENT991","LDDU","LFPG",2802.57,352.39999,"B738(MEDIUM)","Departure","Current","1","ROTAR","LDDU"
"PHHRK#4","LDZA","LGAV",249.15,235.7,"P180(MEDIUM)","Departure","Current","1","OSLUD.1","LDZA"
"VLG1281","LDZA","LEBL",1898.47,208.7,"A320(MEDIUM)","Departure","Current","1","ROTAR","LDZA"
"TOM9AB","LDPL","EGBB",1452.53,104.3,"B738(MEDIUM)","Departure","Current","1","PEVAL","LDPL"
"EZY53JP","LDSP","EGKK",2072.92,241.89999,"A320(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"KLM1939","EHAM","LDZA",199.6,87.6,"E190(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"SAS2831","EKCH","LDSP",746.35,205.39999,"A320(MEDIUM)","Arrival","Current","1","NEMEK","LDSP"
"EZY43LD","LDZD","EDDB",1604.75,168.2,"A319(MEDIUM)","Departure","Current","1","BUSET","LDZD"
"FIN6ML","LDDU","EFHK",1330.15,76.8,"A321(MEDIUM)","Departure","Current","1","MOKUN","LDDU"
"NAX4350","LDZA","ESSA",1237.05,79.8,"B738(MEDIUM)","Departure","Current","1","KOPRY","LDZA"
"RWZ536","LDPL","UUDD",1721.93,124.1,"A321(MEDIUM)","Departure","Current","1","ALIVO","LDPL"
"EWG8EV","LDPL","EDDL",1305.92,103.8,"A320(MEDIUM)","Departure","Current","1","PEVAL","LDPL"
"ASL45D","LDZA","LYBE",484.62,157.89999,"AT72(MEDIUM)","Departure","Current","1","LAKIK","LDZA"
"HBFWZ","LSGL","LDDU",181.08,251,"PC12(MEDIUM)","Arrival","Current","1","TORPO","LDDU"
"EZY24JC","LDDU","EHAM",2449.1,322.79999,"A320(MEDIUM)","Departure","Current","1","DARZA","LDDU"
"CTN9HR","EDDF","LDZA",478.77,111.7,"A319(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"LOT611","EPWA","LDZA",454.67,144,"E195(MEDIUM)","Arrival","Current","1","KOPRY","LDZA"
"AUA734","LDDU","LOWW",1953.73,322,"E190(MEDIUM)","Departure","Current","1","OBUTI.1","LDDU"
"EXS92LW","EGSS","LDDU",2467.3,325.29999,"B763(MEDIUM)","Arrival","Current","1","PEVAL","LDDU"
"IBE31HY","LEMD","LDZA",686.9,114.6,"A321(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"DLH3CF","LDPL","EDDM",894.47,113.7,"CRJ9(MEDIUM)","Departure","Current","1","GIRDA","LDPL"
"SAS1832","LDSP","ESSA",2037.37,206.3,"B738(MEDIUM)","Departure","Current","1","VEBAL.3","LDSP"
"DCDTN","LDZD","EDDR",381.97,169.7,"C25C(MEDIUM)","Departure","Current","1","PEVAL.1","LDZD"
"AHO596U","LSZH","LDDU",665.68,325.39999,"E35L(MEDIUM)","Arrival","Current","1","PEVAL","LDDU"
"BAW48G","EGLL","LDZA",212.23,87.7,"A320(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"SAS4782","LDPL","ENGM",932.07,124.1,"CRJ9(MEDIUM)","Departure","Current","1","ALIVO","LDPL"
"TJS91#2","LDRI","LOWI",358.13,110.5,"C650(MEDIUM)","Departure","Current","1","ALIVO","LDRI"
"EIN46B","EIDW","LDDU",1630.9,325.39999,"A321(MEDIUM)","Arrival","Current","1","PEVAL","LDDU"
"OOACC#2","EBAW","LDRI",74.77,84.5,"C25A(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"N620SY","LDDU","KINL",1793.08,344.10001,"GLEX(MEDIUM)","Departure","Current","1","PEVAL.1","LDDU"
"CTN439P","EDDM","LDSP",754.65,255,"DH8D(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDSP"
"SAS1836","LDSP","ESGG",1990.63,226.89999,"A320(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"TOM8FC","LDPL","EGGD",1521.18,114,"B738(MEDIUM)","Departure","Current","1","GIRDA","LDPL"
"SAS4733","ENGM","LDSP",1090.73,238.2,"B738(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"EZY37MU","LDDU","EGSS",2391.4,340.89999,"A319(MEDIUM)","Departure","Current","1","BUSET","LDDU"
"VLG6756","LIRF","LDZD",526.62,146,"A320(MEDIUM)","Arrival","Current","1","NIKOL","LDZD"
"EFD6S#2","LDSB","LOWI",660.83,257.29999,"C680(MEDIUM)","Departure","Current","1","PEVAL.1","LDSB"
"EZY76TW","LIRN","LDDU",308.7,123.8,"A320(MEDIUM)","Arrival","Current","1","AIOSA","LDDU"
"DLH1476","EDDF","LDZD",609.18,160.7,"A319(MEDIUM)","Arrival","Current","1","GEMKA","LDZD"
"GUILT","LDRI","LFMT",130.25,129.3,"PA31(MEDIUM)","Departure","Current","1","LABIN","LDRI"
"VLG6736","LIRF","LDDU",562.7,168.7,"A320(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"CTN75C","LSZH","LDSP",660.65,225.8,"DH8D(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"EZY78JZ","LDSP","EGSS",1952.63,242.7,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"EWG6YG","EDDT","LDRI",207.97,84.5,"A319(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"BAW28V","EGKK","LDDU",1304.63,330.70001,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDDU"
"NAX91M","LDSP","ENGM",2146.5,226.8,"B738(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"EXS961","EGCC","LDDU",1878.27,330.60001,"B752(MEDIUM)","Arrival","Current","1","LABIN","LDDU"
"SAS7342","LDSP","ENVA",2033.67,206.3,"B738(MEDIUM)","Departure","Current","1","VEBAL.3","LDSP"
"AEE788","LGAV","LDZD",712.57,235,"DH8D(MEDIUM)","Arrival","Current","1","AIOSA","LDZD"
"EWG73Z","EDDK","LDSP",1404.4,255,"A319(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDSP"
"IBK2605","LDDU","EGKK",2802.57,352.39999,"B738(MEDIUM)","Departure","Current","1","ROTAR","LDDU"
"CTN321","LKPR","LDZA",283.75,99.1,"DH8D(MEDIUM)","Arrival","Current","1","PETOV","LDZA"
"SCW8271","LDSP","ESOE",1741.93,206,"RJ1H(MEDIUM)","Departure","Current","1","VEBAL.3","LDSP"
"UAE129","OMDB","LDZA",1622.03,194.60001,"B77W(MEDIUM)","Arrival","Current","1","PEROT","LDZA"
"NAX36EP","ENZV","LDDU",1223.6,300.10001,"B738(MEDIUM)","Arrival","Current","1","DARZA","LDDU"
"DFTON","EDVE","LDPL",75.67,103.1,"PC12(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"NAX38FY","LDSP","ESSA",2065.97,206.2,"B738(MEDIUM)","Departure","Current","1","VEBAL.3","LDSP"
"SAS2834","LDDU","EKCH",752,77.9,"CRJ9(MEDIUM)","Departure","Current","1","MOKUN","LDDU"
"TOM7KX","LDPL","EGCC",1515.58,114,"B738(MEDIUM)","Departure","Current","1","GIRDA","LDPL"
"SBI929","UUDD","LDPL",579.55,183.39999,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDPL"
"CTN423","EDDL","LDSP",743.85,230.10001,"A319(MEDIUM)","Arrival","Current","1","PEVAL","LDSP"
"TOM60K","LDPL","EGKK",2024.63,103.8,"B752(MEDIUM)","Departure","Current","1","PEVAL","LDPL"
"AFL2040","UUEE","LDZA",419.28,111.3,"A320(MEDIUM)","Arrival","Current","1","KOPRY","LDZA"
"LOT581","EPWA","LDZD",746.05,204.60001,"E195(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDZD"
"EXS19L","EGCC","LDSP",889.35,225.60001,"B738(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"RYR6946","EBCI","LDRI",228.27,84.5,"B738(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"EZY69ML","LDDU","EGKK",2444.27,352.29999,"A319(MEDIUM)","Departure","Current","1","ROTAR","LDDU"
"EZY63RK","LDZD","EGGW",1712.22,169.3,"A320(MEDIUM)","Departure","Current","1","PEVAL.1","LDZD"
"EZS89YB","LSGG","LDSP",459.72,153.89999,"A320(MEDIUM)","Arrival","Current","1","TORPO","LDSP"
"CTN375","LEBL","LDZA",512.33,191.3,"CRJ9(MEDIUM)","Arrival","Current","1","LABIN","LDZA"
"NJE855Y","LDPL","LFPB",426.47,103.6,"F2TH(MEDIUM)","Departure","Current","1","PEVAL","LDPL"
"IBE31BD","LDDU","LEMD",1585.93,168.8,"A319(MEDIUM)","Departure","Current","1","KATTI","LDDU"
"TDR275","EDJA","LDDU",1085,312.39999,"F100(MEDIUM)","Arrival","Current","1","ARMIX","LDDU"
"AHO247Y#2","LIEO","LDDU",232,168.7,"C56X(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"EZY73HF","LDSP","EGGD",2072.92,241.89999,"A320(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"EZY97FB","LFPG","LDSP",777.38,225.7,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"SAS7328","LDSP","ENGM",2146.5,226.8,"B738(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"IBK484","EFHK","LDDU",1194.28,288.89999,"B738(MEDIUM)","Arrival","Current","1","VEBAL","LDDU"
"KLM1940","LDZA","EHAM",1076.75,114.8,"E190(MEDIUM)","Departure","Current","1","PODET","LDZA"
"EZY74HQ","LDDU","EGPH",2599.2,352.60001,"A320(MEDIUM)","Departure","Current","1","ROTAR","LDDU"
"LOT612","LDZA","EPWA",892.93,81.1,"E195(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"OOACC","LDRI","EBBR",211.22,109.9,"C25A(MEDIUM)","Departure","Current","1","ALIVO","LDRI"
"QTR62SY","OTHH","LDZA",849.33,237.89999,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.E","LDZA"
"CTN413","EDDF","LDSP",828.83,211.60001,"A320(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"BAW881V","LDDU","EGKK",2557.4,344.39999,"A320(MEDIUM)","Departure","Current","1","PEVAL.1","LDDU"
"SCW18Y","LDSP","ESSP",1741.93,206,"RJ1H(MEDIUM)","Departure","Current","1","VEBAL.3","LDSP"
