"Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","RoutingType","Scenario","Runway","Waypoint","Airport"
"DLH8KY","EDDF","LDZA",199.9,94.1,"CRJ9(MEDIUM)","Arrival","Current","2","ARGOM","LDZA"
"WRC771","UKBB","LDPL",881.47,213.39999,"A321(MEDIUM)","Arrival","Current","2","KOPRY","LDPL"
"VLG24BM","LEBL","LDSP",354.27,130.3,"A320(MEDIUM)","Arrival","Current","2","VAPUP","LDSP"
"FPG288","LSGG","LDZA",117.37,87.7,"G280(MEDIUM)","Arrival","Current","2","ARGOM","LDZA"
"EWG6JF","EDDV","LDSP",1039.1,255.10001,"B738(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDSP"
"SAS4734","LDSP","ENGM",2146.5,226.8,"B738(MEDIUM)","Departure","Current","2","PETOV","LDSP"
"CSA6904","LOWL","LDSB",523.28,218.3,"AT75(MEDIUM)","Arrival","Current","2","DARZA","LDSB"
"AEE784","LGAV","LDDU",428.55,102.6,"A319(MEDIUM)","Arrival","Current","2","MOKUN","LDDU"
"NAX4TM","ENBR","LDSP",817.05,209.3,"B738(MEDIUM)","Arrival","Current","2","DARZA","LDSP"
"CTN474V","LDSP","LFLL",674.52,163.8,"DH8D(MEDIUM)","Departure","Current","2","TORPO","LDSP"
"IBE31MM","LDZA","LEMD",2253.2,209.2,"A321(MEDIUM)","Departure","Current","2","ROTAR","LDZA"
"MSSYS","LDDU","LLSD",222.35,78.2,"C25C(MEDIUM)","Departure","Current","2","MOKUN","LDDU"
"VOE22RY","LFRS","LDDU",913.52,250.89999,"A319(MEDIUM)","Arrival","Current","2","TORPO","LDDU"
"N474CG","LFBZ","LDPL",55.88,103.1,"EA50(MEDIUM)","Arrival","Current","2","ROTAR","LDPL"
"EZY4806","LDDU","LIRN",1301.97,117.2,"A320(MEDIUM)","Departure","Current","2","AIOSA","LDDU"
"EWG4DS","EDDL","LDSP",781.63,211.60001,"A319(MEDIUM)","Arrival","Current","2","SABAD","LDSP"
"BAW85GA","LDZA","EGLL",1382.32,114.6,"A320(MEDIUM)","Departure","Current","2","PODET","LDZA"
"EZY42AG","EDDB","LDDU",1199.23,321.5,"A320(MEDIUM)","Arrival","Current","2","PETOV","LDDU"
"DLH1477","LDZD","EDDF",1609.02,169.5,"A319(MEDIUM)","Departure","Current","2","PEVAL.1","LDZD"
"DFTON#2","LDPL","EDVE",104.45,102.6,"PC12(MEDIUM)","Departure","Current","2","PEVAL","LDPL"
"N154QS","LDSB","LIML",1154.3,177.2,"GLEX(MEDIUM)","Departure","Current","2","TORPO","LDSB"
"BRO30","LDSP","LIMC",272.43,249,"BE20(MEDIUM)","Departure","Current","2","ROTAR.1","LDSP"
"9AJIM#2","UKLL","LDZD",160.92,193.89999,"C525(MEDIUM)","Arrival","Current","2","KOPRY","LDZD"
"VLG6755","LDZD","LIRF",1410.12,124.7,"A320(MEDIUM)","Departure","Current","2","TORPO","LDZD"
"CTN4AU","LDSP","LOWW",859.85,230.2,"DH8D(MEDIUM)","Departure","Current","2","OBUTI.2","LDSP"
"CTN475","LFPG","LDSP",725.2,225.60001,"A319(MEDIUM)","Arrival","Current","2","LABIN","LDSP"
"EWG9RC","LDSP","EDDK",1952.63,242.7,"A319(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"NAX37Z","LDDU","ENZV",2533.23,301.29999,"B738(MEDIUM)","Departure","Current","2","OBUTI.2","LDDU"
"TVS3AC#2","LKPR","LDDU",1371.97,313.39999,"B739(MEDIUM)","Arrival","Current","2","PETOV","LDDU"
"EZY6269","EGGD","LDPL",276.78,134.10001,"A320(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDPL"
"TVS1DE","LKPR","LDSP",951.92,209.10001,"B739(MEDIUM)","Arrival","Current","2","DARZA","LDSP"
"VLG6737","LDDU","LIRF",1649.63,168.89999,"A320(MEDIUM)","Departure","Current","2","KATTI","LDDU"
"AUA731D","LOWW","LDDU",985.3,269,"A320(MEDIUM)","Arrival","Current","2","KOPRY","LDDU"
"RYR6947","LDRI","EBCI",1517.17,109.9,"B738(MEDIUM)","Departure","Current","2","ALIVO","LDRI"
"AFL2041","LDZA","UUEE",1121.23,79.9,"A320(MEDIUM)","Departure","Current","2","KOPRY","LDZA"
"BEL2AX","EBBR","LDSP",777.38,225.7,"A320(MEDIUM)","Arrival","Current","2","LABIN","LDSP"
"IBK5DH","LDDU","EFHK",1242,76.6,"B738(MEDIUM)","Departure","Current","2","MOKUN","LDDU"
"AUA683V","LOWW","LDZA",341.92,111.5,"DH8D(MEDIUM)","Arrival","Current","2","KOPRY","LDZA"
"EIN47W","LDDU","EIDW",3085.12,343.79999,"A321(MEDIUM)","Departure","Current","2","PEVAL.1","LDDU"
"EZY4739","EDDB","LDPL",523.07,183.39999,"A319(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NE","LDPL"
"CTN412","LDSP","EDDF",1939.58,242.7,"A319(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"AFR26EH","LFPG","LDZA",217.7,87.7,"A320(MEDIUM)","Arrival","Current","2","ARGOM","LDZA"
"STK18P","EGMC","LDZD",490.85,165.89999,"E195(MEDIUM)","Arrival","Current","2","GIRDA","LDZD"
"N474CG#2","LDPL","LSZH",118.52,114.2,"EA50(MEDIUM)","Departure","Current","2","GIRDA","LDPL"
"AUA745","LOWW","LDSP",843.35,222.89999,"A320(MEDIUM)","Arrival","Current","2","KOPRY","LDSP"
"EZS59YK","LDSP","LSGG",1930.65,210.2,"A320(MEDIUM)","Departure","Current","2","BAXON","LDSP"
"CTN442T","LDSB","LOWG",882.85,245,"DH8D(MEDIUM)","Departure","Current","2","LOWG","LDSB"
"CTN4483","EKCH","LDSP",834.15,222.89999,"A320(MEDIUM)","Arrival","Current","2","KOPRY","LDSP"
"LOT582","LDZD","EPWA",1296.55,159.7,"E195(MEDIUM)","Departure","Current","2","DARZA","LDZD"
"ASL38F","LYBE","LDPL",730.22,321.70001,"AT72(MEDIUM)","Arrival","Current","2","VEBAR","LDPL"
"SBI930","LDPL","UUDD",1456.93,124.2,"A320(MEDIUM)","Departure","Current","2","ALIVO","LDPL"
"TDR9275","LDDU","LOWK",1971.77,323.10001,"F100(MEDIUM)","Departure","Current","2","DARZA","LDDU"
"VOE22KT","LFBD","LDDU",847.55,250.89999,"B712(MEDIUM)","Arrival","Current","2","TORPO","LDDU"
"EXS96B","LDDU","EGCC",3888.92,352.20001,"B752(MEDIUM)","Departure","Current","2","ROTAR","LDDU"
"ASL70W","LYBE","LDDU",422.03,114.6,"A319(MEDIUM)","Arrival","Current","2","MOKUN","LDDU"
"BAW681D","LDDU","EGKK",2557.4,344.39999,"A320(MEDIUM)","Departure","Current","2","PEVAL.1","LDDU"
"EZY32XU","EHAM","LDSP",812.52,226.3,"A320(MEDIUM)","Arrival","Current","2","BUSET","LDSP"
"VLG6732","LIRF","LDSP",401.1,153.89999,"A320(MEDIUM)","Arrival","Current","2","TORPO","LDSP"
"EXS916","LDSP","EGCC",2239.45,241.8,"B738(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"EXS79CX","LDDU","EGSS",5177.17,322.39999,"B763(MEDIUM)","Departure","Current","2","DARZA","LDDU"
"AFR59EP","LFPG","LDDU",1114.62,322.70001,"A319(MEDIUM)","Arrival","Current","2","LABIN","LDDU"
"EZS52HP","LDPL","LFSB",1305.92,103.8,"A320(MEDIUM)","Departure","Current","2","PEVAL","LDPL"
"AHO247Y","LDDU","LRCK",236.47,77.5,"C56X(MEDIUM)","Departure","Current","2","MOKUN","LDDU"
"EZY64GM","LDSP","LFPG",1913.25,210.2,"A320(MEDIUM)","Departure","Current","2","BAXON","LDSP"
"PHHRK","LGAV","LDZA",204.43,262.70001,"P180(MEDIUM)","Arrival","Current","2","PERAN","LDZA"
"DLH4KW","LDZA","EDDM",894.43,114.1,"CRJ9(MEDIUM)","Departure","Current","2","PODET","LDZA"
"HBFWZ#2","LDDU","LSGL",157.92,169.5,"PC12(MEDIUM)","Departure","Current","2","KATTI","LDDU"
"CTN432","LDSP","EDDT",1880.38,228.7,"A319(MEDIUM)","Departure","Current","2","ALIVO","LDSP"
"N786XJ","LFMN","LDZD",212,129.60001,"C750(MEDIUM)","Arrival","Current","2","TORPO","LDZD"
"EDW449","LDSP","LSZH",2072.92,241.89999,"A320(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"CTN381","LIRF","LDSP",377,130.3,"DH8D(MEDIUM)","Arrival","Current","2","VAPUP","LDSP"
"AEE785","LDDU","LGAV",986.6,76.6,"A319(MEDIUM)","Departure","Current","2","MOKUN","LDDU"
"EZY31TJ","EGKK","LDSP",765.58,221.8,"A320(MEDIUM)","Arrival","Current","2","SABAD","LDSP"
"TRA79L","EHRD","LDPL",454.68,146,"B737(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDPL"
"VOE22BV","LDDU","LFRS",1730.2,203.10001,"A319(MEDIUM)","Departure","Current","2","VELUG","LDDU"
"DLH3CH","LDZA","EDDF",750.22,81.1,"CRJ9(MEDIUM)","Departure","Current","2","OBUTI","LDZA"
"JAF55W","LFRG","LDSB",955.23,260.10001,"E190(MEDIUM)","Arrival","Current","2","PEVAL","LDSB"
"TRA43M","EHRD","LDSP",1039.1,255.10001,"B738(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDSP"
"FPG288#2","LDZA","LSGG",440.38,114.5,"G280(MEDIUM)","Departure","Current","2","PODET","LDZA"
"CTN26T","LDZA","LPPT",1261.57,207.8,"CRJ9(MEDIUM)","Departure","Current","2","ROTAR","LDZA"
"MRONE#2","LFMD","LDZD",282.58,166.3,"F2TH(MEDIUM)","Arrival","Current","2","LABIN","LDZD"
"EWG7UT","LDSP","EDDV",1965.68,193.89999,"B738(MEDIUM)","Departure","Current","2","OUTSIDE.FIR.N","LDSP"
"NAX95DB","LDSP","ENBR",2172.68,226.8,"B738(MEDIUM)","Departure","Current","2","PETOV","LDSP"
"VJT417","LSZH","LDDU",523.5,325.39999,"G280(MEDIUM)","Arrival","Current","2","PEVAL","LDDU"
"WRC772","LDPL","UKBB",2118.67,184.3,"A321(MEDIUM)","Departure","Current","2","KOPRY","LDPL"
"CTN492","LDSP","EGLL",2072.48,238.8,"A320(MEDIUM)","Departure","Current","2","BUSET","LDSP"
"9AJIM","LDZD","LOWK",225.65,126.5,"C525(MEDIUM)","Departure","Current","2","OUTSIDE.FIR.N","LDZD"
"EZY2938","LDDU","LIMC",2599.2,352.60001,"A320(MEDIUM)","Departure","Current","2","ROTAR","LDDU"
"CSA6901","LDSB","LOWI",744.98,253.5,"AT75(MEDIUM)","Departure","Current","2","GEMKA","LDSB"
"DLH1720","EDDM","LDZD",638.32,165.8,"A320(MEDIUM)","Arrival","Current","2","GIRDA","LDZD"
"VLG24DR","LDSP","LEBL",1913.25,210.2,"A320(MEDIUM)","Departure","Current","2","BAXON","LDSP"
"EWG2XC","LDSP","EDDL",1952.63,242.7,"A319(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"DLH1UX","EDDM","LDDU",1118.93,306.29999,"A320(MEDIUM)","Arrival","Current","2","SABAD","LDDU"
"GMI23TJ","LFBO","LDDU",489.98,172.39999,"A319(MEDIUM)","Arrival","Current","2","KATTI","LDDU"
"EZS19DF","LSGG","LDDU",912.1,258.79999,"A320(MEDIUM)","Arrival","Current","2","TORPO","LDDU"
"RYR612B","EDDF","LDRI",228.27,84.5,"B738(MEDIUM)","Arrival","Current","2","ARMIX","LDRI"
"CTN4HV","LOWW","LDSP",662.35,211.89999,"DH8D(MEDIUM)","Arrival","Current","2","SABAD","LDSP"
"STK67R","LDZD","EGMC",1343.43,169.39999,"E195(MEDIUM)","Departure","Current","2","PEVAL.1","LDZD"
"EZY4740#2","LDPL","EDDB",1393.33,124.2,"A319(MEDIUM)","Departure","Current","2","ALIVO","LDPL"
"EZY29XP","LDDU","EDDB",2446.57,322.29999,"A320(MEDIUM)","Departure","Current","2","OBUTI.1","LDDU"
"TVS2DE","LDSP","LKPR",2265.1,226.60001,"B739(MEDIUM)","Departure","Current","2","PETOV","LDSP"
"IBE32GG","LEMD","LDSP",491.45,153.89999,"A321(MEDIUM)","Arrival","Current","2","TORPO","LDSP"
"EZY6270","LDPL","EGGD",1305.92,103.8,"A320(MEDIUM)","Departure","Current","2","PEVAL","LDPL"
"CTN245T","LOWG","LDSB",899.58,244.7,"DH8D(MEDIUM)","Arrival","Current","2","LOWG","LDSB"
"AEE780","LGAV","LDZA",792.13,262.5,"DH8D(MEDIUM)","Arrival","Current","2","PERAN","LDZA"
"ADR43B","LDSB","LJLJ",1050.65,216.7,"CRJ9(MEDIUM)","Departure","Current","2","LJLJ","LDSB"
"AFR22CR","LDZA","LFPG",1382.32,114.6,"A320(MEDIUM)","Departure","Current","2","PODET","LDZA"
"EWG9900","EDDL","LDZA",254.23,87.8,"DH8D(MEDIUM)","Arrival","Current","2","ARGOM","LDZA"
"TVS4AC","LDDU","LKPR",2772.23,322.5,"B739(MEDIUM)","Departure","Current","2","DARZA","LDDU"
"AUA684T","LDZA","LOWW",406.75,81.2,"DH8D(MEDIUM)","Departure","Current","2","OBUTI","LDZA"
"BEL3354","LDSP","EBBR",2167.92,260.70001,"A320(MEDIUM)","Departure","Current","2","OUTSIDE.FIR.NW","LDSP"
"ASL93N","LDDU","LYBE",1087.17,76.6,"A319(MEDIUM)","Departure","Current","2","MOKUN","LDDU"
"N889JA","LIRQ","LDDU",613.52,250.89999,"GLEX(MEDIUM)","Arrival","Current","2","TORPO","LDDU"
"TVL5087","LGZA","LDDU",286.12,102.8,"B738(MEDIUM)","Arrival","Current","2","MOKUN","LDDU"
"AUA72HR","LDDU","LOWW",2446.57,322.29999,"A320(MEDIUM)","Departure","Current","2","OBUTI.1","LDDU"
"DLH8FR","EDDM","LDSP",776.6,211.60001,"A320(MEDIUM)","Arrival","Current","2","SABAD","LDSP"
"CTN2840","LDSP","ESNZ",1990.63,226.89999,"A320(MEDIUM)","Departure","Current","2","PETOV","LDSP"
"PHHRK#2","LDZA","EHRD",147.48,113.9,"P180(MEDIUM)","Departure","Current","2","PODET","LDZA"
"JSY218D","LGMK","LDZA",228.17,245.5,"C25A(MEDIUM)","Arrival","Current","2","OSLUD","LDZA"
