"Time","Sector","Entries","Scenario","Runway"
"03:10","TMA_OSIJEK",0,"Current","1"
"03:20","TMA_ZAGREB",1,"Current","1"
"03:20","TMA_PULA",0,"Current","1"
"03:20","TMA_DUBROVNIK",0,"Current","1"
"03:20","TMA_SPLIT",0,"Current","1"
"03:20","TMA_ZADAR",0,"Current","1"
"03:20","TMA_OSIJEK",0,"Current","1"
"03:30","TMA_ZAGREB",1,"Current","1"
"03:30","TMA_PULA",0,"Current","1"
"03:30","TMA_DUBROVNIK",0,"Current","1"
"03:30","TMA_SPLIT",0,"Current","1"
"03:30","TMA_ZADAR",0,"Current","1"
"03:30","TMA_OSIJEK",0,"Current","1"
"03:40","TMA_ZAGREB",1,"Current","1"
"03:40","TMA_PULA",0,"Current","1"
"03:40","TMA_DUBROVNIK",0,"Current","1"
"03:40","TMA_SPLIT",0,"Current","1"
"03:40","TMA_ZADAR",0,"Current","1"
"03:40","TMA_OSIJEK",0,"Current","1"
"03:50","TMA_ZAGREB",1,"Current","1"
"03:50","TMA_PULA",0,"Current","1"
"03:50","TMA_DUBROVNIK",0,"Current","1"
"03:50","TMA_SPLIT",1,"Current","1"
"03:50","TMA_ZADAR",0,"Current","1"
"03:50","TMA_OSIJEK",0,"Current","1"
"04:00","TMA_ZAGREB",1,"Current","1"
"04:00","TMA_PULA",0,"Current","1"
"04:00","TMA_DUBROVNIK",0,"Current","1"
"04:00","TMA_SPLIT",1,"Current","1"
"04:00","TMA_ZADAR",1,"Current","1"
"04:00","TMA_OSIJEK",0,"Current","1"
"04:10","TMA_ZAGREB",1,"Current","1"
"04:10","TMA_PULA",0,"Current","1"
"04:10","TMA_DUBROVNIK",0,"Current","1"
"04:10","TMA_SPLIT",1,"Current","1"
"04:10","TMA_ZADAR",1,"Current","1"
"04:10","TMA_OSIJEK",0,"Current","1"
"04:20","TMA_ZAGREB",1,"Current","1"
"04:20","TMA_PULA",0,"Current","1"
"04:20","TMA_DUBROVNIK",0,"Current","1"
"04:20","TMA_SPLIT",1,"Current","1"
"04:20","TMA_ZADAR",1,"Current","1"
"04:20","TMA_OSIJEK",1,"Current","1"
"04:30","TMA_ZAGREB",1,"Current","1"
"04:30","TMA_PULA",1,"Current","1"
"04:30","TMA_DUBROVNIK",0,"Current","1"
"04:30","TMA_SPLIT",1,"Current","1"
"04:30","TMA_ZADAR",2,"Current","1"
"04:30","TMA_OSIJEK",1,"Current","1"
"04:40","TMA_ZAGREB",2,"Current","1"
"04:40","TMA_PULA",1,"Current","1"
"04:40","TMA_DUBROVNIK",1,"Current","1"
"04:40","TMA_SPLIT",2,"Current","1"
"04:40","TMA_ZADAR",2,"Current","1"
"04:40","TMA_OSIJEK",1,"Current","1"
