"Sector","V","Longitude","Latitude"
"ACC_ZAGREB","V1",18.4502777777778,42.6366666666667
"CTR_BRAC","V1",16.8469444444444,43.3016666666667
"CTR_DUBROVNIK","V1",18.0469444444444,42.7083333333333
"CTR_LOSINJ","V1",14.6591666666667,44.5330555555556
"CTR_PULA","V1",14.1875,45.0636111111111
"CTR_RIJEKA","V1",14.4486111111111,45.4691666666667
"CTR_SPLIT","V1",16.3522222222222,43.3580555555556
"CTR_ZADAR","V1",15.3869444444444,43.8986111111111
"CTR_ZAGREB","V1",15.9647222222222,45.5847222222222
"FIC_SPLIT","V1",17.125,43.5169444444444
"FIC_ZADAR","V1",15.4186111111111,43.6236111111111
"FIC_ZAGREB","V1",15.7777777777778,45.1752777777778
"LQBT_FIR","V1",17.1638888888889,45.1533333333333
"LQMT_FIR","V1",17.7827777777778,42.9808333333333
"LQSB_FIR","V1",17.3036111111111,43.4613888888889
"LQVF_FIR","V1",17.2383333333333,43.5261111111111
"OUTSIDE_FIR_E","V1",5.01805555555556,41.5391666666667
"OUTSIDE_FIR_N","V1",9.01805555555556,47.0438888888889
"OUTSIDE_FIR_W","V1",4.01777777777778,46.0958333333333
"TMA_DUBROVNIK","V1",18.4502777777778,42.6366666666667
"TMA_OSIJEK","V1",19.0127777777778,45.4005555555556
"TMA_PULA","V1",14.7444444444444,44.595
"TMA_SPLIT","V1",17.125,43.5169444444444
"TMA_ZADAR","V1",15.4186111111111,43.6236111111111
"TMA_ZAGREB","V1",16.9541666666667,44.6988888888889
"ACC_ZAGREB","V2",18.6636111111111,41.9438888888889
"CTR_BRAC","V2",17.0233333333333,43.2105555555556
"CTR_DUBROVNIK","V2",18.2538888888889,42.6033333333333
"CTR_LOSINJ","V2",14.6391666666667,44.4638888888889
"CTR_PULA","V2",13.7813888888889,45.0608333333333
"CTR_RIJEKA","V2",14.8438888888889,45.0816666666667
"CTR_SPLIT","V2",16.1880555555556,43.3752777777778
"CTR_ZADAR","V2",15.2780555555556,43.9752777777778
"CTR_ZAGREB","V2",15.9116666666667,45.5502777777778
"FIC_SPLIT","V2",17.1994444444444,43.4958333333333
"FIC_ZADAR","V2",14.3288888888889,43.6505555555556
"FIC_ZAGREB","V2",15.7697222222222,45.0788888888889
"LQBT_FIR","V2",17.7619444444444,45.0844444444444
"LQMT_FIR","V2",17.6894444444444,43.0286111111111
"LQSB_FIR","V2",17.5,43.5152777777778
"LQVF_FIR","V2",17.3036111111111,43.4613888888889
"OUTSIDE_FIR_E","V2",6.03416666666667,41.5952777777778
"OUTSIDE_FIR_N","V2",9.01666666666667,47.34
"OUTSIDE_FIR_W","V2",6.01777777777778,45.5597222222222
"TMA_DUBROVNIK","V2",18.6636111111111,41.9438888888889
"TMA_OSIJEK","V2",19.3963888888889,45.2241666666667
"TMA_PULA","V2",14.6955555555556,44.34
"TMA_SPLIT","V2",17.1994444444444,43.4958333333333
"TMA_ZADAR","V2",14.3288888888889,43.6505555555556
"TMA_ZAGREB","V2",16.9086111111111,44.5688888888889
"ACC_ZAGREB","V3",18.3811111111111,41.9002777777778
"CTR_BRAC","V3",16.6466666666667,43.1063888888889
"CTR_DUBROVNIK","V3",18.4291666666667,42.5461111111111
"CTR_LOSINJ","V3",14.5,44.3886111111111
"CTR_PULA","V3",13.6797222222222,44.9661111111111
"CTR_RIJEKA","V3",14.6063888888889,44.9538888888889
"CTR_SPLIT","V3",15.9597222222222,43.5361111111111
"CTR_ZADAR","V3",15.2038888888889,44.0275
"CTR_ZAGREB","V3",15.7644444444444,45.6438888888889
"FIC_SPLIT","V3",17.2277777777778,43.4394444444444
"FIC_ZADAR","V3",13.7597222222222,44.1572222222222
"FIC_ZAGREB","V3",15.7580555555556,45.0705555555556
"LQBT_FIR","V3",17.8616666666667,45.0447222222222
"LQMT_FIR","V3",17.4308333333333,43.1802777777778
"LQSB_FIR","V3",18.1347222222222,42.9583333333333
"LQVF_FIR","V3",17.2277777777778,43.4394444444444
"OUTSIDE_FIR_E","V3",6.03333333333333,44.5072222222222
"OUTSIDE_FIR_N","V3",16.3813888888889,46.5325
"OUTSIDE_FIR_W","V3",3.01722222222222,44.4966666666667
"TMA_DUBROVNIK","V3",18.3811111111111,41.9002777777778
"TMA_OSIJEK","V3",19.3955555555556,45.2122222222222
"TMA_PULA","V3",14.2463888888889,44.3472222222222
"TMA_SPLIT","V3",17.2277777777778,43.4394444444444
"TMA_ZADAR","V3",13.7597222222222,44.1572222222222
"TMA_ZAGREB","V3",15.7777777777778,45.1752777777778
"ACC_ZAGREB","V4",18.1944444444444,41.9327777777778
"CTR_BRAC","V4",16.6166666666667,43.1219444444444
"CTR_DUBROVNIK","V4",18.4316666666667,42.4130555555556
"CTR_LOSINJ","V4",14.3972222222222,44.4052777777778
"CTR_PULA","V4",13.6852777777778,44.8
"CTR_RIJEKA","V4",14.1827777777778,45.3441666666667
"CTR_SPLIT","V4",15.9933333333333,43.5975
"CTR_ZADAR","V4",15.0888888888889,44.1077777777778
"CTR_ZAGREB","V4",15.7963888888889,45.6644444444444
"FIC_SPLIT","V4",17.2772222222222,43.3516666666667
"FIC_ZADAR","V4",14.2463888888889,44.3472222222222
"FIC_ZAGREB","V4",15.1833333333333,45.4241666666667
"LQBT_FIR","V4",18.0027777777778,45.0608333333333
"LQMT_FIR","V4",17.2772222222222,43.3516666666667
"LQSB_FIR","V4",17.9530555555556,42.8933333333333
"LQVF_FIR","V4",17.1994444444444,43.4958333333333
"OUTSIDE_FIR_E","V4",7.01777777777778,46.2636111111111
"OUTSIDE_FIR_N","V4",16.2730555555556,46.5175
"OUTSIDE_FIR_W","V4",3.01805555555556,41.1772222222222
"TMA_DUBROVNIK","V4",18.1944444444444,41.9327777777778
"TMA_OSIJEK","V4",19.0775,45.1266666666667
"TMA_PULA","V4",13.7597222222222,44.1572222222222
"TMA_SPLIT","V4",17.2772222222222,43.3516666666667
"TMA_ZADAR","V4",13.4980555555556,44.3863888888889
"TMA_ZAGREB","V4",15.7697222222222,45.0788888888889
"ACC_ZAGREB","V5",17.7586111111111,41.9186111111111
"CTR_BRAC","V5",16.4602777777778,43.2019444444445
"CTR_DUBROVNIK","V5",17.9605555555556,42.5780555555556
"CTR_LOSINJ","V5",14.29,44.5011111111111
"CTR_PULA","V5",13.7330555555556,44.7080555555556
"CTR_RIJEKA","V5",14.4486111111111,45.4691666666667
"CTR_SPLIT","V5",16.0341666666667,43.6722222222222
"CTR_ZADAR","V5",15.2419444444444,44.3308333333333
"CTR_ZAGREB","V5",16.0516666666667,45.8280555555556
"FIC_SPLIT","V5",17.4308333333333,43.1802777777778
"FIC_ZADAR","V5",14.6955555555556,44.34
"FIC_ZAGREB","V5",15.0902777777778,45.5166666666667
"LQBT_FIR","V5",17.975,44.9833333333333
"LQMT_FIR","V5",17.2277777777778,43.4394444444444
"LQSB_FIR","V5",17.7827777777778,42.9808333333333
"LQVF_FIR","V5",17.125,43.5169444444444
"OUTSIDE_FIR_E","V5",9.01666666666667,47.34
"OUTSIDE_FIR_N","V5",16.2616666666667,46.455
"OUTSIDE_FIR_W","V5",2.01694444444444,40.6586111111111
"TMA_DUBROVNIK","V5",17.7586111111111,41.9186111111111
"TMA_OSIJEK","V5",19.0780555555556,45.1225
"TMA_PULA","V5",13.4980555555556,44.3863888888889
"TMA_SPLIT","V5",17.4308333333333,43.1802777777778
"TMA_ZADAR","V5",14.2591666666667,44.6830555555556
"TMA_ZAGREB","V5",15.7580555555556,45.0705555555556
"ACC_ZAGREB","V6",17.6163888888889,41.7533333333333
